architecture,log,setting,freezed_layers,dls,mae,mae_denormalised,nb_worst_situs
GPT,BPI_Challenge_2013_incidents.xes.gz,RTFMP,"['0', '1']",0.2094,0.0995,71.8973,8496
GPT,BPI_Challenge_2013_incidents.xes.gz,RTFMP,['0'],0.2207,0.1746,126.1010,8496
GPT,BPI_Challenge_2013_incidents.xes.gz,RTFMP_filtered,"['0', '1', '2']",0.2496,0.1569,113.3455,7530
GPT,BPI_Challenge_2013_incidents.xes.gz,RTFMP_filtered,['0'],0.3231,0.1173,84.7371,3169
GPT,BPI_Challenge_2013_open_problems.xes.gz,BPIC15,"['0', '1', '2']",0.3143,0.0518,58.0914,26
GPT,BPI_Challenge_2013_open_problems.xes.gz,BPIC15,['0'],0.4569,0.0873,97.8249,0
GPT,BPI_Challenge_2013_open_problems.xes.gz,base,,0.3209,0.0981,109.9842,44
GPT,BPI_Challenge_2013_open_problems.xes.gz,helpdesk,"['0', '1', '2', '3']",0.3202,0.1049,117.5771,10
GPT,BPI_Challenge_2013_open_problems.xes.gz,helpdesk,"['0', '1', '2']",0.3108,0.0549,61.4914,4
GPT,BPI_Challenge_2013_open_problems.xes.gz,helpdesk,"['1', '2', '3']",0.4562,0.0425,47.6653,0
GPT,BPI_Challenge_2013_open_problems.xes.gz,helpdesk,"['0', '2', '3']",0.2875,0.3353,375.9361,18
GPT,BPI_Challenge_2013_open_problems.xes.gz,helpdesk,"['0', '1', '3']",0.4171,0.0337,37.7322,0
GPT,BPI_Challenge_2013_open_problems.xes.gz,helpdesk,"['0', '1']",0.4219,0.0872,97.7865,0
GPT,BPI_Challenge_2013_open_problems.xes.gz,helpdesk,['0'],0.3628,0.0514,57.6745,0
GPT,BPI_Challenge_2013_open_problems.xes.gz,RTFMP,"['0', '1', '2', '3']",0.4167,0.0542,60.8015,0
GPT,BPI_Challenge_2013_open_problems.xes.gz,RTFMP,"['0', '1', '2']",0.3274,0.1565,175.4523,133
GPT,BPI_Challenge_2013_open_problems.xes.gz,RTFMP,"['1', '2', '3']",0.3684,0.0588,65.9639,0
GPT,BPI_Challenge_2013_open_problems.xes.gz,RTFMP,"['0', '2', '3']",0.4093,0.0432,48.4333,0
GPT,BPI_Challenge_2013_open_problems.xes.gz,RTFMP,"['0', '1', '3']",0.3345,0.0744,83.3946,0
GPT,BPI_Challenge_2013_open_problems.xes.gz,RTFMP,"['0', '1']",0.3161,0.0930,104.2701,0
GPT,BPI_Challenge_2013_open_problems.xes.gz,RTFMP,['0'],0.3362,0.1081,121.2031,14
GPT,BPI_Challenge_2013_open_problems.xes.gz,RTFMP_filtered,"['0', '1', '2']",0.3334,0.1537,172.2790,42
GPT,BPI_Challenge_2013_open_problems.xes.gz,RTFMP_filtered,['0'],0.3196,0.1636,183.4550,39
GPT,helpdesk.csv,BPIC15,"['0', '1', '2']",0.8582,0.0771,3.8646,0
GPT,helpdesk.csv,BPIC15,['0'],0.8582,0.0757,3.7943,0
GPT,helpdesk.csv,base,,0.8472,0.0808,4.0486,0
GPT,helpdesk.csv,RTFMP,"['0', '1', '2', '3']",0.8472,0.0810,4.0585,0
GPT,helpdesk.csv,RTFMP,"['0', '1', '2']",0.8467,0.0813,4.0745,0
GPT,helpdesk.csv,RTFMP,"['1', '2', '3']",0.8469,0.0809,4.0546,0
